ClaimID,CustomerID,PolicyID,ClaimAmount,ClaimDate,ClaimStatus,HospitalOrGarage
CL000986,C01219,P0151,5615,2026-04-07,Rejected,NA
CL000987,C01456,P0263,394888,2026-03-11,Rejected,Aster Hospital
CL000988,C01652,P0413,629952,2026-05-13,Submitted,XYZ Garage
CL000989,C01885,P0488,500394,2026-03-07,Approved,ABC Motors
CL000990,C03039,P0053,1105800,2026-04-08,Rejected,XYZ Garage
CL000991,C02085,P0375,79187,2026-05-10,Rejected,TVS Garage
CL000992,C02360,P0090,597175,2026-03-05,Submitted,XYZ Garage
CL000993,C01447,P0197,281076,2026-05-22,Rejected,TVS Garage
CL000994,C00171,P0231,565109,2026-02-22,Rejected,Apollo Hospital
CL000995,C04732,P0442,729542,2026-02-11,Submitted,NA
CL000996,C04285,P0414,783694,2026-03-11,Rejected,NA
CL000997,C00068,P0128,1194946,2026-04-20,Submitted,ABC Motors
CL000998,C02322,P0168,440414,2026-03-24,Submitted,Apollo Hospital
CL000999,C03853,P0208,689153,2026-01-12,Rejected,ABC Motors
CL001000,C01021,P0411,1153275,2026-05-14,Approved,Apollo Hospital
CL001001,C00309,P0391,714499,2026-03-12,Approved,XYZ Garage
CL001002,C04167,P0487,955894,2026-02-24,Rejected,TVS Garage
CL001003,C03293,P0342,792237,2026-05-13,Rejected,ABC Motors
CL001004,C03687,P0302,1131142,2026-05-29,Rejected,ABC Motors
CL001005,C00135,P0210,224329,2026-04-28,Submitted,NA
CL001006,C00183,P0447,909549,2026-05-30,Approved,Apollo Hospital
CL001007,C02137,P0319,924406,2026-01-22,Approved,Apollo Hospital
CL001008,C01761,P0409,1099067,2026-03-08,Submitted,ABC Motors
CL001009,C00841,P0173,823479,2026-05-03,Rejected,ABC Motors
CL001010,C03541,P0373,684236,2026-01-01,Submitted,TVS Garage
CL001011,C00628,P0278,1060445,2026-04-19,Approved,NA
CL001012,C00786,P0197,1031529,2026-03-16,Rejected,XYZ Garage
CL001013,C01481,P0105,596772,2026-02-23,Rejected,XYZ Garage
CL001014,C03564,P0295,1085485,2026-03-25,Approved,TVS Garage
CL001015,C02656,P0389,35894,2026-03-27,Rejected,ABC Motors
CL001016,C04724,P0405,481931,2026-05-05,Rejected,TVS Garage
CL001017,C00374,P0070,555263,2026-02-15,Submitted,ABC Motors
CL001018,C00591,P0242,1127295,2026-05-31,Approved,TVS Garage
CL001019,C03652,P0064,631535,2026-01-09,Approved,TVS Garage
CL001020,C00457,P0442,505821,2026-05-18,Rejected,NA
CL001021,C04019,P0220,362611,2026-04-07,Rejected,XYZ Garage
CL001022,C00585,P0323,863500,2026-03-05,Submitted,NA
CL001023,C02356,P0294,513740,2026-04-15,Submitted,Apollo Hospital
CL001024,C03157,P0101,678540,2026-05-12,Rejected,Aster Hospital
CL001025,C00156,P0369,178377,2026-01-06,Approved,Aster Hospital
CL001026,C03599,P0282,792407,2026-03-27,Approved,XYZ Garage
CL001027,C01708,P0001,617449,2026-05-09,Rejected,Aster Hospital
CL001028,C04012,P0236,735586,2026-05-15,Rejected,ABC Motors
CL001029,C00400,P0457,454477,2026-04-10,Rejected,ABC Motors
CL001030,C01202,P0027,408482,2026-04-19,Approved,TVS Garage
CL001031,C02491,P0349,590842,2026-02-24,Submitted,XYZ Garage
CL001032,C02115,P0207,1067758,2026-04-07,Submitted,NA
CL001033,C02004,P0120,221099,2026-05-18,Approved,NA
CL001034,C01234,P0101,467302,2026-04-05,Rejected,NA
CL001035,C03455,P0046,1000875,2026-01-13,Rejected,Aster Hospital
CL001036,C01017,P0454,937379,2026-03-19,Rejected,TVS Garage
CL001037,C03777,P0237,898597,2026-02-14,Submitted,ABC Motors
CL001038,C01114,P0199,514808,2026-04-11,Rejected,XYZ Garage
CL001039,C02566,P0357,87277,2026-05-11,Submitted,XYZ Garage
CL001040,C04960,P0251,1040973,2026-03-09,Rejected,TVS Garage
CL001041,C02234,P0351,602577,2026-03-03,Rejected,XYZ Garage
CL001042,C02739,P0071,743688,2026-02-18,Rejected,NA
CL001043,C03766,P0404,533152,2026-01-08,Approved,ABC Motors
CL001044,C03190,P0239,881576,2026-05-23,Rejected,TVS Garage
CL001045,C00205,P0136,316197,2026-01-06,Rejected,ABC Motors
CL001046,C03828,P0182,169856,2026-03-20,Submitted,ABC Motors
CL001047,C02874,P0103,626051,2026-01-23,Approved,TVS Garage
CL001048,C03860,P0393,436572,2026-02-23,Approved,XYZ Garage
CL001049,C04820,P0030,68776,2026-01-12,Submitted,TVS Garage
CL001050,C00275,P0408,858821,2026-04-06,Rejected,TVS Garage
CL001051,C04148,P0077,508863,2026-03-16,Submitted,TVS Garage
CL001052,C02814,P0126,1102704,2026-03-27,Submitted,NA
CL001053,C03463,P0188,516903,2026-03-29,Approved,Aster Hospital
CL001054,C01067,P0483,864225,2026-04-21,Approved,NA
CL001055,C00111,P0442,78215,2026-03-08,Rejected,Apollo Hospital
CL001056,C04675,P0378,166006,2026-01-18,Approved,NA
CL001057,C02012,P0418,646220,2026-05-30,Submitted,TVS Garage
CL001058,C03453,P0040,165971,2026-05-09,Submitted,XYZ Garage
CL001059,C03270,P0427,660256,2026-01-21,Approved,XYZ Garage
CL001060,C00834,P0350,668484,2026-05-09,Approved,NA
CL001061,C03669,P0404,581243,2026-04-13,Rejected,Apollo Hospital
CL001062,C02556,P0374,643593,2026-05-01,Rejected,ABC Motors
CL001063,C00762,P0262,857398,2026-05-11,Rejected,NA
CL001064,C00001,P0144,968957,2026-05-30,Rejected,ABC Motors
CL001065,C03141,P0281,309829,2026-01-05,Submitted,TVS Garage
CL001066,C01091,P0189,848492,2026-03-29,Submitted,XYZ Garage
CL001067,C03072,P0009,1105683,2026-01-18,Rejected,NA
CL001068,C01345,P0360,488945,2026-03-01,Approved,NA
CL001069,C01479,P0295,390935,2026-05-08,Rejected,TVS Garage
CL001070,C00143,P0162,584510,2026-05-04,Submitted,Aster Hospital
CL001071,C04383,P0217,367446,2026-02-09,Approved,TVS Garage
CL001072,C00449,P0182,141997,2026-02-25,Approved,XYZ Garage
CL001073,C03183,P0193,68594,2026-03-20,Rejected,TVS Garage
CL001074,C03696,P0445,511941,2026-02-24,Submitted,XYZ Garage
CL001075,C00740,P0130,952651,2026-05-09,Rejected,Aster Hospital
CL001076,C02140,P0234,628535,2026-03-19,Approved,Apollo Hospital
CL001077,C01540,P0168,551409,2026-03-14,Approved,Apollo Hospital
CL001078,C01364,P0470,474809,2026-05-10,Rejected,NA
CL001079,C01849,P0430,750414,2026-01-22,Submitted,NA
CL001080,C03329,P0212,651313,2026-05-08,Rejected,TVS Garage
CL001081,C00783,P0105,190105,2026-02-22,Rejected,Apollo Hospital
CL001082,C04141,P0346,395051,2026-01-03,Approved,TVS Garage
CL001083,C04212,P0192,411193,2026-03-10,Rejected,TVS Garage
CL001084,C04379,P0418,165699,2026-03-31,Approved,XYZ Garage
CL001085,C04320,P0398,1129193,2026-04-04,Submitted,Aster Hospital
CL001086,C00975,P0251,1155224,2026-03-25,Rejected,XYZ Garage
CL001087,C00475,P0415,1096792,2026-03-19,Submitted,NA
CL001088,C00623,P0470,359212,2026-05-22,Rejected,TVS Garage
CL001089,C02958,P0414,1089063,2026-01-29,Rejected,ABC Motors
CL001090,C02828,P0389,373904,2026-02-25,Submitted,Aster Hospital
CL001091,C00796,P0301,463084,2026-03-21,Submitted,XYZ Garage
CL001092,C00752,P0281,87092,2026-01-15,Approved,XYZ Garage
CL001093,C00533,P0420,542486,2026-04-09,Approved,TVS Garage
CL001094,C01042,P0361,363910,2026-03-21,Approved,Apollo Hospital
CL001095,C04983,P0449,776894,2026-05-28,Rejected,NA
CL001096,C01984,P0391,110098,2026-05-31,Submitted,Apollo Hospital
CL001097,C01421,P0033,1081055,2026-03-22,Approved,ABC Motors
CL001098,C01583,P0152,191165,2026-01-23,Rejected,NA
CL001099,C03290,P0046,413387,2026-03-05,Approved,TVS Garage
CL001100,C02920,P0186,411574,2026-01-14,Approved,TVS Garage
CL001101,C01831,P0020,399058,2026-01-16,Rejected,TVS Garage
CL001102,C00085,P0231,925741,2026-05-17,Approved,NA
CL001103,C00818,P0458,100515,2026-04-15,Rejected,XYZ Garage
CL001104,C04498,P0156,657119,2026-03-23,Rejected,ABC Motors
CL001105,C03541,P0122,641526,2026-03-25,Rejected,Apollo Hospital
CL001106,C04575,P0380,386376,2026-01-26,Approved,ABC Motors
CL001107,C04899,P0137,716638,2026-02-09,Approved,ABC Motors
CL001108,C02514,P0351,173037,2026-01-27,Approved,ABC Motors
CL001109,C00858,P0470,803045,2026-04-08,Submitted,XYZ Garage
CL001110,C00765,P0009,124466,2026-05-15,Submitted,Aster Hospital
CL001111,C01312,P0341,525411,2026-02-04,Submitted,Apollo Hospital
CL001112,C03314,P0275,297527,2026-04-17,Submitted,Aster Hospital
CL001113,C01245,P0352,176570,2026-05-08,Rejected,NA
CL001114,C03295,P0088,800075,2026-05-26,Rejected,Aster Hospital
CL001115,C00250,P0271,406909,2026-03-11,Rejected,XYZ Garage
CL001116,C00708,P0382,9141,2026-01-03,Rejected,XYZ Garage
CL001117,C01888,P0072,738557,2026-05-07,Approved,Aster Hospital
CL001118,C04516,P0322,957018,2026-01-13,Submitted,Aster Hospital
CL001119,C01294,P0075,64974,2026-01-12,Submitted,NA
CL001120,C03796,P0468,561634,2026-05-24,Rejected,XYZ Garage
CL001121,C04042,P0377,271150,2026-03-07,Approved,XYZ Garage
CL001122,C03794,P0481,257055,2026-02-07,Submitted,TVS Garage
CL001123,C00724,P0152,702868,2026-02-17,Submitted,Apollo Hospital
CL001124,C02714,P0347,1074153,2026-01-06,Submitted,Aster Hospital
CL001125,C04228,P0205,34419,2026-04-08,Approved,TVS Garage
CL001126,C04526,P0015,364861,2026-02-16,Rejected,Apollo Hospital
CL001127,C03429,P0401,753064,2026-03-18,Rejected,TVS Garage
CL001128,C03696,P0489,838055,2026-03-29,Approved,NA
CL001129,C04748,P0012,540336,2026-01-22,Submitted,XYZ Garage
CL001130,C04788,P0259,694071,2026-04-22,Rejected,NA
CL001131,C02127,P0105,74981,2026-01-25,Rejected,TVS Garage
CL001132,C02904,P0221,283145,2026-02-26,Submitted,XYZ Garage
CL001133,C04032,P0272,1067735,2026-05-11,Rejected,NA
CL001134,C03121,P0178,893480,2026-03-02,Approved,Aster Hospital
CL001135,C03190,P0338,111030,2026-04-17,Submitted,Aster Hospital
CL001136,C01131,P0432,49297,2026-01-23,Approved,NA
CL001137,C01586,P0285,802511,2026-01-03,Rejected,ABC Motors
CL001138,C04827,P0142,938881,2026-01-21,Submitted,XYZ Garage
CL001139,C00127,P0110,1068323,2026-01-05,Approved,TVS Garage
CL001140,C00994,P0390,538606,2026-05-14,Submitted,TVS Garage
CL001141,C02015,P0287,354345,2026-05-26,Rejected,TVS Garage
CL001142,C00602,P0302,256926,2026-03-08,Rejected,XYZ Garage
CL001143,C00392,P0491,759513,2026-03-01,Rejected,ABC Motors
CL001144,C01050,P0288,502992,2026-05-31,Rejected,Apollo Hospital
CL001145,C03350,P0243,451998,2026-01-15,Submitted,TVS Garage
CL001146,C01811,P0065,826949,2026-05-07,Approved,XYZ Garage
CL001147,C02096,P0443,1071665,2026-05-13,Rejected,NA
CL001148,C04332,P0384,868951,2026-03-26,Rejected,NA
CL001149,C01223,P0304,350802,2026-04-05,Submitted,NA
CL001150,C04382,P0340,390171,2026-02-10,Submitted,Aster Hospital
CL001151,C04396,P0462,4377,2026-01-29,Submitted,Aster Hospital
CL001152,C01264,P0126,784321,2026-02-23,Approved,ABC Motors
CL001153,C04178,P0264,720004,2026-04-20,Submitted,NA
CL001154,C02442,P0349,886848,2026-05-05,Rejected,NA
CL001155,C04057,P0258,39738,2026-04-13,Rejected,TVS Garage
CL001156,C04520,P0113,1006857,2026-03-10,Submitted,TVS Garage
CL001157,C04707,P0167,997029,2026-03-27,Approved,Apollo Hospital
CL001158,C01893,P0183,421827,2026-01-21,Rejected,TVS Garage
CL001159,C02824,P0351,692542,2026-02-10,Submitted,NA
CL001160,C04003,P0141,1128112,2026-04-28,Rejected,Apollo Hospital
CL001161,C00528,P0362,611549,2026-05-15,Rejected,NA
CL001162,C01282,P0220,931638,2026-03-24,Approved,NA
CL001163,C00966,P0405,1034937,2026-04-19,Rejected,TVS Garage
CL001164,C01836,P0138,852987,2026-04-02,Rejected,Apollo Hospital
CL001165,C02935,P0399,915002,2026-03-21,Approved,XYZ Garage
CL001166,C03304,P0226,1111207,2026-04-20,Approved,NA
CL001167,C00066,P0468,105480,2026-05-25,Approved,TVS Garage
CL001168,C04132,P0419,386216,2026-01-16,Approved,ABC Motors
CL001169,C01571,P0429,79935,2026-01-22,Submitted,TVS Garage
CL001170,C04716,P0244,326548,2026-02-14,Rejected,Aster Hospital
CL001171,C01035,P0269,589805,2026-05-19,Submitted,Aster Hospital
CL001172,C02502,P0396,352048,2026-05-03,Rejected,ABC Motors
CL001173,C04533,P0025,1191606,2026-05-14,Rejected,ABC Motors
CL001174,C00404,P0489,174670,2026-05-10,Approved,TVS Garage
CL001175,C00067,P0407,428779,2026-02-20,Rejected,XYZ Garage
CL001176,C00042,P0037,700701,2026-02-26,Rejected,NA
CL001177,C01983,P0192,1106164,2026-04-13,Rejected,NA
CL001178,C03982,P0054,726447,2026-03-25,Rejected,TVS Garage
CL001179,C03415,P0451,34077,2026-03-30,Approved,XYZ Garage
CL001180,C01264,P0457,825077,2026-01-11,Submitted,ABC Motors
CL001181,C03970,P0439,561617,2026-04-14,Submitted,NA
CL001182,C01129,P0254,286281,2026-01-13,Submitted,TVS Garage
CL001183,C01690,P0203,627865,2026-05-27,Approved,Apollo Hospital
CL001184,C04910,P0354,322193,2026-05-16,Rejected,ABC Motors
CL001185,C03641,P0379,323046,2026-05-09,Rejected,NA
CL001186,C00349,P0088,180288,2026-04-02,Rejected,NA
CL001187,C01782,P0286,516689,2026-01-06,Submitted,ABC Motors
CL001188,C03720,P0175,672142,2026-05-21,Approved,Apollo Hospital
CL001189,C01301,P0198,383505,2026-04-17,Rejected,Aster Hospital
CL001190,C04976,P0190,834963,2026-05-03,Submitted,XYZ Garage
CL001191,C02188,P0148,830264,2026-01-01,Rejected,XYZ Garage
CL001192,C04994,P0398,47925,2026-05-04,Rejected,Apollo Hospital
CL001193,C04609,P0357,1195365,2026-01-26,Submitted,XYZ Garage
CL001194,C00530,P0234,1014500,2026-04-06,Rejected,Apollo Hospital
CL001195,C01255,P0294,582617,2026-03-18,Approved,TVS Garage
CL001196,C04949,P0400,347473,2026-03-28,Approved,NA
CL001197,C00822,P0220,578959,2026-05-19,Approved,XYZ Garage
CL001198,C02004,P0265,706364,2026-05-27,Rejected,TVS Garage
CL001199,C03605,P0228,911946,2026-03-31,Rejected,TVS Garage
CL001200,C04771,P0460,77966,2026-05-04,Approved,TVS Garage
CL001201,C02672,P0156,553230,2026-02-23,Submitted,TVS Garage
CL001202,C01824,P0393,906779,2026-05-18,Rejected,NA
CL001203,C04036,P0053,706242,2026-04-16,Submitted,Aster Hospital
CL001204,C01154,P0372,6605,2026-05-30,Rejected,XYZ Garage
CL001205,C00441,P0250,850168,2026-03-03,Rejected,Apollo Hospital
CL001206,C02833,P0108,755853,2026-04-29,Rejected,Apollo Hospital
CL001207,C00418,P0340,101115,2026-01-29,Approved,TVS Garage
CL001208,C02067,P0237,954898,2026-02-28,Rejected,XYZ Garage
CL001209,C02154,P0124,151484,2026-03-09,Submitted,XYZ Garage
CL001210,C03963,P0069,363699,2026-04-01,Rejected,ABC Motors
CL001211,C04100,P0173,842567,2026-03-07,Approved,Aster Hospital
CL001212,C02807,P0139,1023986,2026-03-21,Approved,ABC Motors
CL001213,C04375,P0169,785528,2026-04-30,Approved,XYZ Garage
CL001214,C02573,P0078,499676,2026-02-07,Submitted,TVS Garage
CL001215,C03055,P0179,1160070,2026-01-05,Submitted,NA
CL001216,C04769,P0403,722442,2026-05-05,Submitted,XYZ Garage
CL001217,C02470,P0427,1023988,2026-04-03,Submitted,Apollo Hospital
CL001218,C03349,P0207,93927,2026-02-09,Submitted,TVS Garage
CL001219,C00964,P0398,406624,2026-04-16,Approved,Aster Hospital
CL001220,C01749,P0380,634238,2026-04-24,Approved,TVS Garage
CL001221,C00150,P0239,214410,2026-03-06,Rejected,XYZ Garage
CL001222,C03643,P0325,202360,2026-03-07,Submitted,ABC Motors
CL001223,C04833,P0251,515970,2026-03-16,Approved,XYZ Garage
CL001224,C02862,P0366,670708,2026-05-27,Rejected,Apollo Hospital
CL001225,C04246,P0365,455562,2026-05-08,Rejected,TVS Garage
CL001226,C03297,P0019,258239,2026-04-29,Approved,Aster Hospital
CL001227,C04985,P0423,815332,2026-01-26,Approved,Apollo Hospital
CL001228,C03770,P0179,66514,2026-01-11,Approved,ABC Motors
CL001229,C00289,P0482,804665,2026-04-28,Submitted,NA
CL001230,C02210,P0295,71136,2026-05-06,Submitted,ABC Motors
CL001231,C04894,P0092,1110397,2026-03-22,Rejected,NA
CL001232,C00802,P0204,328356,2026-01-29,Submitted,TVS Garage
CL001233,C04738,P0415,496663,2026-05-21,Submitted,ABC Motors
CL001234,C03647,P0206,525260,2026-04-01,Approved,ABC Motors
CL001235,C03988,P0123,772782,2026-04-02,Submitted,XYZ Garage
CL001236,C04869,P0209,96368,2026-05-06,Approved,ABC Motors
CL001237,C01050,P0069,1120834,2026-05-18,Approved,TVS Garage
CL001238,C00700,P0496,449017,2026-03-01,Rejected,Apollo Hospital
CL001239,C01589,P0314,16312,2026-01-20,Rejected,Aster Hospital
CL001240,C00387,P0310,982667,2026-03-21,Approved,ABC Motors
CL001241,C02538,P0500,476447,2026-04-21,Rejected,NA
CL001242,C01844,P0161,1007180,2026-05-26,Rejected,ABC Motors
CL001243,C00513,P0487,563099,2026-05-14,Approved,Aster Hospital
CL001244,C00091,P0341,109107,2026-04-27,Submitted,NA
CL001245,C01871,P0412,764793,2026-04-22,Rejected,XYZ Garage
CL001246,C01257,P0200,53827,2026-05-12,Approved,TVS Garage
CL001247,C01487,P0486,871487,2026-03-02,Submitted,ABC Motors
CL001248,C04844,P0485,555521,2026-01-18,Approved,XYZ Garage
CL001249,C04286,P0200,901022,2026-05-30,Approved,Apollo Hospital
CL001250,C01035,P0345,270321,2026-02-20,Approved,Apollo Hospital
CL001251,C02162,P0321,349947,2026-03-24,Approved,ABC Motors
CL001252,C00677,P0473,227923,2026-05-30,Rejected,NA
CL001253,C04478,P0291,308750,2026-03-27,Submitted,TVS Garage
CL001254,C03231,P0389,668886,2026-04-26,Rejected,NA
CL001255,C02236,P0194,781772,2026-02-24,Approved,TVS Garage
CL001256,C02598,P0144,601645,2026-01-20,Approved,XYZ Garage
CL001257,C00800,P0409,1117363,2026-03-29,Approved,Aster Hospital
CL001258,C03130,P0472,945023,2026-02-18,Submitted,Apollo Hospital
CL001259,C02770,P0074,122506,2026-02-22,Submitted,NA
CL001260,C04423,P0052,454798,2026-04-24,Submitted,ABC Motors
CL001261,C04203,P0155,210121,2026-05-18,Rejected,ABC Motors
CL001262,C00658,P0134,802115,2026-02-04,Approved,Apollo Hospital
CL001263,C00611,P0134,1096190,2026-03-04,Approved,Aster Hospital
CL001264,C02652,P0137,126126,2026-01-25,Approved,Aster Hospital
CL001265,C03629,P0087,1137032,2026-02-23,Rejected,Apollo Hospital
CL001266,C01603,P0001,1066685,2026-05-04,Rejected,TVS Garage
CL001267,C03840,P0465,1013724,2026-01-12,Submitted,XYZ Garage
CL001268,C00087,P0216,1014277,2026-04-22,Approved,XYZ Garage
CL001269,C01944,P0398,976243,2026-04-07,Approved,NA
CL001270,C04946,P0192,6418,2026-05-04,Rejected,NA
CL001271,C03955,P0353,138741,2026-04-17,Approved,Apollo Hospital
CL001272,C04088,P0076,88653,2026-03-14,Submitted,XYZ Garage
CL001273,C04229,P0203,1177322,2026-01-13,Submitted,TVS Garage
CL001274,C00844,P0257,818744,2026-05-28,Approved,Apollo Hospital
CL001275,C01853,P0454,340393,2026-04-10,Rejected,NA
CL001276,C02692,P0408,841131,2026-03-07,Submitted,ABC Motors
CL001277,C03828,P0153,229984,2026-05-31,Submitted,Apollo Hospital
CL001278,C03288,P0019,678173,2026-03-01,Submitted,NA
CL001279,C00168,P0199,525650,2026-05-26,Approved,XYZ Garage
CL001280,C03986,P0331,33434,2026-02-28,Rejected,Aster Hospital
CL001281,C02755,P0417,241108,2026-04-26,Submitted,Apollo Hospital
CL001282,C01011,P0283,146020,2026-04-06,Submitted,XYZ Garage
CL001283,C00818,P0097,833791,2026-05-20,Approved,XYZ Garage
CL001284,C03206,P0238,23596,2026-04-29,Rejected,Aster Hospital
CL001285,C00966,P0492,697493,2026-03-05,Approved,XYZ Garage
CL001286,C02040,P0327,835610,2026-02-05,Rejected,Aster Hospital
CL001287,C03290,P0408,8229,2026-02-05,Approved,Apollo Hospital
CL001288,C03469,P0293,53604,2026-05-21,Submitted,XYZ Garage
CL001289,C03732,P0188,580536,2026-05-12,Approved,Aster Hospital
CL001290,C04944,P0119,418305,2026-04-05,Submitted,Aster Hospital
CL001291,C04125,P0424,626040,2026-02-19,Submitted,XYZ Garage
CL001292,C00678,P0003,857169,2026-04-03,Rejected,Aster Hospital
CL001293,C02673,P0436,178127,2026-05-03,Rejected,TVS Garage
CL001294,C02079,P0194,457491,2026-03-30,Approved,Apollo Hospital
CL001295,C01335,P0377,171891,2026-03-19,Approved,Apollo Hospital
CL001296,C01234,P0467,1139920,2026-03-04,Approved,Apollo Hospital
CL001297,C04681,P0170,772003,2026-05-12,Submitted,XYZ Garage
CL001298,C03951,P0290,26028,2026-02-26,Rejected,XYZ Garage
CL001299,C03718,P0052,1034438,2026-05-07,Approved,ABC Motors
CL001300,C00220,P0099,69489,2026-03-30,Rejected,XYZ Garage
CL001301,C03702,P0465,120503,2026-05-27,Rejected,Apollo Hospital
CL001302,C01062,P0130,802084,2026-01-02,Rejected,Apollo Hospital
CL001303,C03213,P0130,1135287,2026-03-01,Submitted,NA
CL001304,C04549,P0303,673682,2026-02-23,Approved,ABC Motors
CL001305,C03156,P0287,543884,2026-01-30,Submitted,ABC Motors
CL001306,C03308,P0235,975731,2026-04-22,Approved,Apollo Hospital
CL001307,C03177,P0144,471686,2026-03-21,Rejected,NA
CL001308,C04810,P0410,955301,2026-03-01,Approved,NA
CL001309,C03871,P0390,496628,2026-01-12,Approved,Aster Hospital
CL001310,C01451,P0136,882220,2026-04-26,Rejected,ABC Motors
CL001311,C02163,P0445,714631,2026-01-30,Approved,TVS Garage
CL001312,C04447,P0144,1119472,2026-01-12,Submitted,TVS Garage
CL001313,C03595,P0372,456536,2026-01-30,Submitted,Apollo Hospital
CL001314,C02822,P0199,41965,2026-03-29,Rejected,Aster Hospital
CL001315,C03963,P0027,955233,2026-05-30,Rejected,XYZ Garage
CL001316,C02449,P0412,1002010,2026-04-16,Approved,Apollo Hospital
CL001317,C00881,P0027,1016266,2026-05-28,Rejected,ABC Motors
CL001318,C02513,P0452,943827,2026-04-03,Rejected,NA
CL001319,C02877,P0215,717010,2026-04-29,Approved,XYZ Garage
CL001320,C04631,P0405,957126,2026-02-08,Approved,ABC Motors
CL001321,C04724,P0108,621847,2026-05-10,Rejected,TVS Garage
CL001322,C00203,P0389,427178,2026-05-29,Approved,XYZ Garage
CL001323,C04158,P0133,798390,2026-05-16,Rejected,NA
CL001324,C03415,P0006,910898,2026-04-08,Submitted,XYZ Garage
CL001325,C04895,P0094,856058,2026-01-18,Approved,XYZ Garage
CL001326,C01084,P0477,860343,2026-05-21,Rejected,Apollo Hospital
CL001327,C03628,P0453,925230,2026-04-27,Rejected,XYZ Garage
CL001328,C03069,P0240,86732,2026-02-22,Submitted,XYZ Garage
CL001329,C03329,P0074,790050,2026-02-27,Rejected,ABC Motors
CL001330,C04828,P0095,932217,2026-01-18,Submitted,Apollo Hospital
CL001331,C00452,P0485,919143,2026-03-03,Rejected,Apollo Hospital
CL001332,C01066,P0284,880635,2026-02-14,Approved,NA
CL001333,C00267,P0209,1132705,2026-02-12,Rejected,Aster Hospital
CL001334,C01344,P0119,404895,2026-03-03,Approved,Aster Hospital
CL001335,C01767,P0316,482894,2026-03-06,Rejected,ABC Motors
CL001336,C00185,P0404,842242,2026-01-08,Rejected,XYZ Garage
CL001337,C02119,P0363,476142,2026-01-01,Rejected,XYZ Garage
CL001338,C02817,P0336,274709,2026-02-18,Rejected,ABC Motors
CL001339,C04405,P0451,822638,2026-03-24,Approved,XYZ Garage
CL001340,C02503,P0047,287345,2026-05-10,Rejected,Aster Hospital
CL001341,C03952,P0367,102838,2026-01-09,Rejected,TVS Garage
CL001342,C02080,P0272,1166359,2026-03-28,Rejected,XYZ Garage
CL001343,C03923,P0400,715379,2026-03-04,Approved,Apollo Hospital
CL001344,C04741,P0324,1092110,2026-01-03,Rejected,Aster Hospital
CL001345,C02967,P0180,653252,2026-02-06,Submitted,Apollo Hospital
CL001346,C02655,P0127,932274,2026-04-16,Rejected,Aster Hospital
CL001347,C02992,P0171,63628,2026-05-03,Submitted,ABC Motors
CL001348,C04511,P0272,937651,2026-05-20,Rejected,Apollo Hospital
CL001349,C01479,P0022,480586,2026-02-03,Approved,Apollo Hospital
CL001350,C02041,P0455,158623,2026-05-04,Approved,Apollo Hospital
CL001351,C02671,P0287,842553,2026-04-17,Approved,XYZ Garage
CL001352,C04725,P0339,277233,2026-05-19,Rejected,XYZ Garage
CL001353,C04297,P0398,1016097,2026-02-10,Submitted,ABC Motors
CL001354,C01663,P0424,160988,2026-03-06,Approved,TVS Garage
CL001355,C04649,P0186,858088,2026-02-14,Submitted,Apollo Hospital
CL001356,C03883,P0469,823716,2026-03-21,Rejected,Apollo Hospital
CL001357,C03499,P0005,492687,2026-02-19,Approved,XYZ Garage
CL001358,C04561,P0260,14902,2026-05-01,Approved,Apollo Hospital
CL001359,C02656,P0041,87669,2026-02-15,Submitted,ABC Motors
CL001360,C02558,P0174,167279,2026-02-08,Approved,Aster Hospital
CL001361,C01305,P0375,8605,2026-01-22,Submitted,ABC Motors
CL001362,C02957,P0153,769761,2026-03-11,Approved,ABC Motors
CL001363,C02257,P0272,1045988,2026-02-05,Submitted,NA
CL001364,C00559,P0029,565260,2026-04-14,Rejected,Aster Hospital
CL001365,C03822,P0164,38552,2026-01-26,Rejected,Aster Hospital
CL001366,C03324,P0349,1198793,2026-04-25,Rejected,TVS Garage
CL001367,C01400,P0423,107536,2026-02-28,Submitted,ABC Motors
CL001368,C00454,P0247,1122040,2026-03-29,Rejected,NA
CL001369,C04448,P0478,396605,2026-02-21,Approved,XYZ Garage
CL001370,C03052,P0260,1035758,2026-02-06,Approved,NA
CL001371,C04550,P0111,835449,2026-05-17,Submitted,NA
CL001372,C00086,P0219,103706,2026-01-23,Rejected,TVS Garage
CL001373,C03649,P0305,322973,2026-02-28,Approved,ABC Motors
CL001374,C03977,P0039,562808,2026-05-17,Rejected,XYZ Garage
CL001375,C00817,P0318,966326,2026-01-02,Approved,TVS Garage
CL001376,C00363,P0370,225096,2026-05-25,Rejected,ABC Motors
CL001377,C04992,P0434,1014736,2026-02-03,Approved,XYZ Garage
CL001378,C01058,P0180,155379,2026-05-27,Approved,Apollo Hospital
CL001379,C00977,P0435,1180335,2026-02-09,Submitted,NA
CL001380,C02891,P0065,500698,2026-02-28,Submitted,Aster Hospital
CL001381,C04630,P0231,8866,2026-03-10,Submitted,NA
CL001382,C01620,P0387,1000538,2026-05-30,Rejected,XYZ Garage
CL001383,C01324,P0304,217301,2026-03-29,Submitted,NA
CL001384,C03048,P0469,677780,2026-02-01,Approved,ABC Motors
CL001385,C01729,P0411,931363,2026-01-22,Rejected,XYZ Garage
CL001386,C01351,P0499,41679,2026-04-30,Rejected,ABC Motors
